Year,Party,State,Seats_Won,Vote_Share,Voter_Turnout,Total_Seats_National,National_Vote_Share,Party_Full
1951,INC,Uttar Pradesh,61,47.7,48.02,364,45.0,Indian National Congress (INC)
1951,INC,Maharashtra,47,42.94,42.26,364,45.0,Indian National Congress (INC)
1951,INC,West Bengal,18,47.2,46.71,364,45.0,Indian National Congress (INC)
1951,INC,Bihar,40,42.12,50.4,364,45.0,Indian National Congress (INC)
1951,INC,Tamil Nadu,39,43.27,42.52,364,45.0,Indian National Congress (INC)
1951,INC,Madhya Pradesh,16,43.83,45.95,364,45.0,Indian National Congress (INC)
1951,INC,Rajasthan,20,43.75,46.82,364,45.0,Indian National Congress (INC)
1951,INC,Karnataka,14,43.75,44.36,364,45.0,Indian National Congress (INC)
1951,INC,Andhra Pradesh,21,46.71,42.7,364,45.0,Indian National Congress (INC)
1951,INC,Gujarat,23,45.55,41.16,364,45.0,Indian National Congress (INC)
1951,INC,Odisha,21,43.02,41.35,364,45.0,Indian National Congress (INC)
1951,INC,Telangana,17,47.79,48.78,364,45.0,Indian National Congress (INC)
1951,INC,Kerala,13,42.59,47.54,364,45.0,Indian National Congress (INC)
1951,INC,Jharkhand,11,42.73,45.65,364,45.0,Indian National Congress (INC)
1951,INC,Assam,5,47.46,43.29,364,45.0,Indian National Congress (INC)
1951,INC,Punjab,13,43.87,45.9,364,45.0,Indian National Congress (INC)
1951,INC,Chhattisgarh,10,43.11,50.4,364,45.0,Indian National Congress (INC)
1951,INC,Haryana,10,47.64,49.65,364,45.0,Indian National Congress (INC)
1951,INC,Uttarakhand,4,47.53,41.58,364,45.0,Indian National Congress (INC)
1951,INC,Delhi,4,42.27,43.95,364,45.0,Indian National Congress (INC)
1951,CPI,Uttar Pradesh,2,1.93,48.99,16,3.3,Communist Party of India
1951,CPI,Maharashtra,1,1.99,46.13,16,3.3,Communist Party of India
1951,CPI,West Bengal,0,5.11,41.45,16,3.3,Communist Party of India
1951,CPI,Bihar,2,4.93,42.69,16,3.3,Communist Party of India
1951,CPI,Tamil Nadu,0,5.19,47.77,16,3.3,Communist Party of India
1951,CPI,Madhya Pradesh,1,4.93,41.44,16,3.3,Communist Party of India
1951,CPI,Rajasthan,0,1.0,49.33,16,3.3,Communist Party of India
1951,CPI,Karnataka,1,2.29,41.34,16,3.3,Communist Party of India
1951,CPI,Andhra Pradesh,0,2.25,48.0,16,3.3,Communist Party of India
1951,CPI,Gujarat,1,5.62,45.42,16,3.3,Communist Party of India
1951,CPI,Odisha,0,4.58,48.31,16,3.3,Communist Party of India
1951,CPI,Telangana,0,4.93,45.64,16,3.3,Communist Party of India
1951,CPI,Kerala,0,2.87,40.95,16,3.3,Communist Party of India
1951,CPI,Jharkhand,0,0.49,47.06,16,3.3,Communist Party of India
1951,CPI,Assam,0,3.35,49.78,16,3.3,Communist Party of India
1951,CPI,Punjab,0,2.76,48.26,16,3.3,Communist Party of India
1951,CPI,Chhattisgarh,0,0.76,43.6,16,3.3,Communist Party of India
1951,CPI,Haryana,0,5.88,48.78,16,3.3,Communist Party of India
1951,CPI,Uttarakhand,0,5.53,48.74,16,3.3,Communist Party of India
1951,CPI,Delhi,0,5.66,46.09,16,3.3,Communist Party of India
1951,HMSP,Uttar Pradesh,1,6.78,43.88,4,4.4,Hindu Mahasabha
1951,HMSP,Maharashtra,0,2.77,44.97,4,4.4,Hindu Mahasabha
1951,HMSP,West Bengal,0,6.56,40.77,4,4.4,Hindu Mahasabha
1951,HMSP,Bihar,0,3.9,42.92,4,4.4,Hindu Mahasabha
1951,HMSP,Tamil Nadu,0,3.43,50.13,4,4.4,Hindu Mahasabha
1951,HMSP,Madhya Pradesh,0,4.51,47.73,4,4.4,Hindu Mahasabha
1951,HMSP,Rajasthan,0,7.23,50.32,4,4.4,Hindu Mahasabha
1951,HMSP,Karnataka,0,4.38,43.71,4,4.4,Hindu Mahasabha
1951,HMSP,Andhra Pradesh,0,1.62,46.8,4,4.4,Hindu Mahasabha
1951,HMSP,Gujarat,0,1.71,43.49,4,4.4,Hindu Mahasabha
1951,HMSP,Odisha,0,2.84,42.15,4,4.4,Hindu Mahasabha
1951,HMSP,Telangana,0,7.31,43.12,4,4.4,Hindu Mahasabha
1951,HMSP,Kerala,0,5.97,43.08,4,4.4,Hindu Mahasabha
1951,HMSP,Jharkhand,0,3.61,47.02,4,4.4,Hindu Mahasabha
1951,HMSP,Assam,0,4.61,41.6,4,4.4,Hindu Mahasabha
1951,HMSP,Punjab,0,3.32,42.57,4,4.4,Hindu Mahasabha
1951,HMSP,Chhattisgarh,0,4.95,47.48,4,4.4,Hindu Mahasabha
1951,HMSP,Haryana,0,4.47,42.96,4,4.4,Hindu Mahasabha
1951,HMSP,Uttarakhand,0,2.45,47.61,4,4.4,Hindu Mahasabha
1951,HMSP,Delhi,0,7.02,42.08,4,4.4,Hindu Mahasabha
1951,Others,Uttar Pradesh,13,44.98,49.95,85,47.3,Other Parties
1951,Others,Maharashtra,14,45.85,47.3,85,47.3,Other Parties
1951,Others,West Bengal,11,47.63,46.0,85,47.3,Other Parties
1951,Others,Bihar,5,44.86,49.67,85,47.3,Other Parties
1951,Others,Tamil Nadu,11,48.1,44.09,85,47.3,Other Parties
1951,Others,Madhya Pradesh,5,48.66,49.67,85,47.3,Other Parties
1951,Others,Rajasthan,7,48.98,47.12,85,47.3,Other Parties
1951,Others,Karnataka,3,45.27,49.69,85,47.3,Other Parties
1951,Others,Andhra Pradesh,5,44.36,41.71,85,47.3,Other Parties
1951,Others,Gujarat,6,44.33,42.31,85,47.3,Other Parties
1951,Others,Odisha,4,48.45,47.22,85,47.3,Other Parties
1951,Others,Telangana,2,48.57,43.07,85,47.3,Other Parties
1951,Others,Kerala,3,48.78,47.2,85,47.3,Other Parties
1951,Others,Jharkhand,4,48.25,46.38,85,47.3,Other Parties
1951,Others,Assam,1,46.51,43.35,85,47.3,Other Parties
